keyword,category,
KAISER FOUNDATIO PAYROLL,PAYCHECK,
Paycheck,PAYCHECK,
ARCO#07098ARCO #07098,FUEL,
Interest Paid,ACCOUNT INTEREST,
CITI,CITY CC PAYMENT,
CITI AUTOPAY PAYMENT ***********0822,CITY CC PAYMENT,
AUTOPAY 999990000021093RAUTOPAY AUTO-PMT,CITY CC PAYMENT,
DLR WDTC PACKAGE,VACATION,
UNITED,VACATION,
PORTLAND AP CART,VACATION,2
ELMER,RESTAURANT,
PUBLICK HOUSE HIS STURBRIDGE,VACATION,
Pai, JEEPTJ,
DLR FRONT DESK DLH ANAHEIM CA PHONE,VACATION,
Costco 1050.45,COSTCO REBATE,
COSTCO CASH,COSTCO REBATE,
WF HOME MTG,Mortgage,
SHELL,FUEL,
7-ELEVEN,FUEL,
EXXON,FUEL,
SINCLAIR,FUEL,
CHEVRON,FUEL,
COSTCO GAS,FUEL,
FUEL,FUEL,
GAS,FUEL,
WinCo,Grocery,
FARMS,Grocery,
MAYERS,Grocery,
FRED,Grocery,
CARROT,Grocery,
WALGREENS,Grocery,
WAL-MART,Grocery,
COSTCO,Grocery,
NEW SEASONS MARKET,Grocery,
TRADER JOE,Grocery,
SAFEWAY,Grocery,
FRED-MEYER,Grocery,
Supermarket,Grocery,
CHUCKS,Grocery,
Norton,Subscription,
GOOGLE ONE,Subscription,
402-935-7733 NY,Subscription,
OPENAI,Subscription,
Adobe,Subscription,
Strava,Subscription,
Boldin.com,Subscription,
OpenAI,Subscription,
Ngrok,Subscription,
Digitalocea,Subscription,
Prime,Subscription,
MEDIUM,Subscription,
STORAGE,Subscription,
TRAININGPKS,Subscription,
Kindle,Subscription,
LUCIDSOFTWA,Subscription,
EVERNOTE,Subscription,
YOUTUBE,Subscription,
NETFLIX,Subscription,
SPOTIFY,Subscription,
DROPBOX,Subscription,
Verizon,Utilities,
CELLULAR SALES,Utilities,
WASTE,Utilities,
UTILITIES,Utilities,
NATURAL,Utilities,
COMCAST,Utilities,
AMZN,AMAZON,
Amazon,AMAZON,
AMAZON,AMAZON,
CHEWY,PET,
VETERINARY,PET,
PETCO,PET,
MUD BAY,PET,
TASTY POT VANCOUVER,RESTAURANT,
TST*FIRE ON THE MOUNTAI,RESTAURANT,
ICE CREAM,RESTAURANT,
HACHI-KO,RESTAURANT,
FOOD,RESTAURANT,
RUSTIC,RESTAURANT,
DUNKIN,RESTAURANT,
POTBELLY,RESTAURANT,
NOSTRA,RESTAURANT,
BOLTON BEAN,RESTAURANT,
SPOOKYS,RESTAURANT,
PT2 BRUSH PRAIRIEWA,RESTAURANT,
LOBSTER,RESTAURANT,
DABOBA,RESTAURANT,
MMS,RESTAURANT,
APPLE.COM/BILL,MEDIA,
TAMALES,RESTAURANT,
GRILL,RESTAURANT,
CHICK,RESTAURANT,
CHICK,RESTAURANT,
JAMI VANCOUVER,RESTAURANT,
BURGER,RESTAURANT,
DOMINO,RESTAURANT,
JAPANESE,RESTAURANT,
BURGERVILL,RESTAURANT,
PIZZERIA,RESTAURANT,
COFFEE,RESTAURANT,
MENCHIES FROYO MENB518,RESTAURANT,
BASKIN,RESTAURANT,
YOGURT,RESTAURANT,
THE DOT SHOP,RESTAURANT,
DK HEWN,RESTAURANT,
BUTTERCUP,RESTAURANT,
RESTAURANT,RESTAURANT,
PIZZA,RESTAURANT,
BRIDGESIDE,RESTAURANT,
SHARIS,RESTAURANT,
BAGEL,RESTAURANT,
CUISINE,RESTAURANT,
CAFE,RESTAURANT,
TREAT,RESTAURANT,
KRISPY,RESTAURANT,
SUSHI,RESTAURANT,
THAI,RESTAURANT,
SONIC DRIVE,RESTAURANT,
DAIRY QUEEN,RESTAURANT,
STARBUCKS,RESTAURANT,
MCDONALD,RESTAURANT,
CHIPOTLE,RESTAURANT,
PANDA EXPRESS,RESTAURANT,
SHARI'S OF ORCHARDS,RESTAURANT,
HOCKINSON MARKET,RESTAURANT,
Subway,RESTAURANT,
ALADDIN CAFE,RESTAURANT,
ASIAN MARKET,RESTAURANT,
COAST TO COAST FISH,RESTAURANT,
SKAMANIA LODGE,RESTAURANT,
KONA ICE,RESTAURANT,
REPAIRCLINIC.COM,HOUSEHOLD,
Lowe's,HOUSEHOLD,
BLINDS,HOUSEHOLD,
Walmart,HOUSEHOLD,
WALMART,HOUSEHOLD,
CERVEZA FACTORY BATTLE,RESTAURANT,
BOBA TREE,RESTAURANT,
BRAGANZA TE,RESTAURANT,
DENNY'S,RESTAURANT,
BUEN APETITO,RESTAURANT,
RED ROBIN,RESTAURANT,
RUBY PHO,RESTAURANT,
MODERN MARKET,RESTAURANT,
SIZZLE PIE,RESTAURANT,
SNACK* BUEN APETITO,RESTAURANT,
CRAFT WAREHOUSE,HOUSEHOLD,
JOANN,HOUSEHOLD,
DEPOT,HOUSEHOLD,
NAILS,HOUSEHOLD,
MCFARLANES,HOUSEHOLD,
IKEA,HOUSEHOLD,
THE UPS STORE,HOUSEHOLD,
SALON,HOUSEHOLD,
LAWN,HOUSEHOLD,
LOWES,HOUSEHOLD,
HAIR,HOUSEHOLD,
 THE UPS STORE,HOUSEHOLD,
USPS,HOUSEHOLD,
DOLLAR,HOUSEHOLD,
AAA,HOUSEHOLD,
HARBOR,HOUSEHOLD,
PROPANE,HOUSEHOLD,
SHAWS 2472 STURBRIDGE,CLOTHING,
TILLYS DBA WORLD,CLOTHING,
